id,city,DOB,address,longitude,sex,state,latitude,name,collection_id,email
102,Phoenix,1995-04-08T22:11:38Z,910 GRANADA ST #6,-112,M,Arizona,33,"WAHLERT,YIN FONG A",V_Participant
1010,Santa Barbara,1993-03-08T22:11:38Z,4595 RIDING CLUB COURT,-120,M,California,34,"VILLA,TIA A",V_Participant,CATLADY2@CLEARWIRE.NET
1011,Santa Barbara,1994-07-08T22:11:38Z,1208 HENDERSON AVE,-120,F,California,34,"BLANDAL,NOEMY ",V_Participant,CATLADY2@CLEARWIRE.NET
1012,Goleta,1998-10-08T22:11:38Z,3903 WARING RD,-120,M,California,34,"SPORES,MANDY MIN QIU ",V_Participant,
1014,Buellton,1995-10-08T22:11:38Z,,-120,M,California,35,"MOORE RISINGER,AUSENCIO M",V_Participant,
1017,Lompoc,1992-11-08T22:11:38Z,2208 COLD STREAM CT,-120,F,California,35,"KRUKOWSKI,LATOYYA MAE",V_Participant,orange_twinkie818@hotmail.com
10125,Quinault,1995-02-08T22:11:38Z,"4891 INDEPENDENCE STREET, SUITE 120",-124,F,Washington,47,"MASHORDA,AZELROSE D",V_Participant,
10127,Taholah,1999-07-08T22:11:38Z,1000 CLAUDIA CT APT #5,-124,F,Washington,47,"WESTERBECK,ARNYGRACE N",V_Participant,
10128,Westport,1996-06-08T22:11:38Z,400 N. CONEJO AVE,-124,M,Washington,47,"JORGENSEN-MONTGOMERY,YOUNGER C",V_Participant,
10130,Coupeville,1994-12-08T22:11:38Z,3821 RIDGEWAY DR.,-123,M,Washington,48,"MOISA,CAILING C",V_Participant,
10134,Oak Harbor,1996-07-08T22:11:38Z,27410 LEMON TREE CT,-123,M,Washington,48,"BOSSERMAN-CORONEL,MASEVILLA ",V_Participant,
10135,Oak Harbor,1994-04-08T22:11:38Z,1502 CAMELIA CO,-123,F,Washington,48,"TAUAKA,LACKEY A",V_Participant,
10136,Brinnon,1997-12-08T22:11:38Z,45-726 KAM HWY,-123,M,Washington,48,"OKANOTO,DEESHANNON R",V_Participant,
10137,Chimacum,1994-03-08T22:11:38Z,3700 NORTH KICKAPOO,-123,F,Washington,48,"NESTELL,KATIE-BETH N",V_Participant,
10140,Port Ludlow,1998-08-08T22:11:38Z,2726 INDIANA ST,-123,M,Washington,48,"ROSCTHCHILD,TANUJA L",V_Participant,
10141,Port Townsend,1995-12-08T22:11:38Z,1208 CALLE TOLEDO,-123,F,Washington,48,"ITAC,TAMIYA S",V_Participant,
10143,Auburn,1995-04-08T22:11:38Z,994 B ST APT 2,-122,F,Washington,47,"LEGULUCHE,ISHANI E",V_Participant,
10144,Auburn,1996-05-08T22:11:38Z,6961 PONY EXPRESS,-122,M,Washington,47,"LAIN,KAYLENN J",V_Participant,
10148,Bellevue,1995-08-08T22:11:38Z,436 N ROXBURY DR #205,-122,M,Washington,48,"GANSEN,LV A",V_Participant,
10149,Bellevue,1999-09-08T22:11:38Z,1619 NW HAWTHORNE #101,-122,F,Washington,48,"CAMARGO-BELTRAN,HE ",V_Participant,
10151,Bellevue,1998-09-08T22:11:38Z,250 W CENTRAL AVE APT 3015,-122,F,Washington,48,"RUGGEIRO,ALLYRA M",V_Participant,
10152,Black Diamond,1994-12-08T22:11:38Z,110 KOEGEL LN,-122,M,Washington,47,"PRAMANIK,ILAHN ",V_Participant,
